시군명,발생년도,발생일자,주야구분명,사고요일,사고유형_대분류,사고유형,법규위반대분류명,법규위반내용,도로형태_대분류,도로형태,가해자 당사자 종별,당사자1_차종,피해자 당사자 종별,당사자2_차종,사망자수,중상자수,부상자수,부상신고자수,경상자수,WGS84위도,WGS84경도
파주시,2022   ,2022-12-31 20시,야간,토요일,차대사람,횡단중,,,단일로,기타단일로,이륜차,,보행자,,1,0,2,1,0,37.76212041,126.77606214
의정부시,2022   ,2022-12-30 06시,주간,금요일,차대차,측면충돌,,,단일로,기타단일로,자전거,,화물차,,1,0,1,0,0,37.71106391,127.05955749
이천시,2022   ,2022-12-29 16시,주간,목요일,차대차,기타,,,기타,기타,화물차,,승용차,,1,0,1,0,0,37.24554465,127.49377601
평택시,2022   ,2022-12-29 14시,주간,목요일,차량단독,기타,,,단일로,기타단일로,이륜차,,없음,,1,0,1,0,0,37.00948878,126.97455951
화성시,2022   ,2022-12-29 11시,주간,목요일,차량단독,기타,,,기타,기타,이륜차,,없음,,1,0,1,0,0,37.05160269,126.85060371
파주시,2022   ,2022-12-28 08시,주간,수요일,차대차,후진중충돌,,,단일로,기타단일로,건설기계,,자전거,,1,0,1,0,0,37.74149382,126.81293468
이천시,2022   ,2022-12-27 17시,주간,화요일,차대차,추돌,,,단일로,기타단일로,승용차,,화물차,,1,0,2,0,1,37.24546355,127.49445254
평택시,2022   ,2022-12-26 21시,야간,월요일,차대차,추돌,,,교차로,교차로내,승합차,,개인형이동수단(PM),,1,0,2,0,1,37.04167461,127.04558612
평택시,2022   ,2022-12-26 20시,야간,월요일,차량단독,전도,,,단일로,기타단일로,개인형이동수단(PM),,없음,,1,0,1,0,0,37.06112247,127.05378235
남양주시,2022   ,2022-12-26 18시,야간,월요일,차대사람,횡단중,,,단일로,기타단일로,승용차,,보행자,,1,0,1,0,0,37.65949515,127.28555988
성남시,2022   ,2022-12-24 10시,주간,토요일,차대차,측면충돌,,,교차로,교차로내,이륜차,,화물차,,1,1,2,0,0,37.43006934,127.15171131
여주시,2022   ,2022-12-22 19시,야간,목요일,차량단독,도로이탈 추락,,,단일로,기타단일로,농기계,,없음,,1,0,1,0,0,37.34356707,127.68776352
안성시,2022   ,2022-12-22 15시,주간,목요일,차대차,측면충돌,,,단일로,기타단일로,승용차,,승용차,,1,0,2,0,1,37.03804732,127.15104747
수원시,2022   ,2022-12-22 14시,주간,목요일,차대사람,기타,,,단일로,기타단일로,승합차,,보행자,,1,0,1,0,0,37.26553640,127.01507901
용인시,2022   ,2022-12-22 12시,주간,목요일,차대사람,횡단중,,,교차로,교차로내,승합차,,보행자,,1,0,1,0,0,37.33734030,127.24990271
안산시,2022   ,2022-12-22 01시,야간,목요일,차량단독,기타,,,교차로,교차로내,승용차,,없음,,1,0,1,0,0,37.31743627,126.81576393
화성시,2022   ,2022-12-21 07시,주간,수요일,차대사람,횡단중,,,교차로,교차로횡단보도내,승용차,,보행자,,1,0,1,0,0,37.09638164,126.89778822
부천시,2022   ,2022-12-21 01시,야간,수요일,차대사람,횡단중,,,단일로,기타단일로,승용차,,보행자,,1,0,1,0,0,37.52362561,126.78430303
안양시,2022   ,2022-12-18 13시,주간,일요일,차대차,추돌,,,단일로,교량위,승용차,,승용차,,1,0,10,2,7,37.41575025,126.89190681
과천시,2022   ,2022-12-18 03시,야간,일요일,차량단독,공작물충돌,,,단일로,기타단일로,승용차,,없음,,1,0,1,0,0,37.45362455,126.99085882
과천시,2022   ,2022-12-17 14시,주간,토요일,차대사람,횡단중,,,단일로,기타단일로,승용차,,보행자,,1,0,1,0,0,37.42942602,127.00217856
동두천시,2022   ,2022-12-16 09시,주간,금요일,차대차,측면충돌,,,단일로,교량위,승용차,,승용차,,1,1,2,0,0,37.91467202,127.03425059
용인시,2022   ,2022-12-14 18시,야간,수요일,차대사람,차도통행중,,,교차로,교차로부근,화물차,,보행자,,1,0,1,0,0,37.19637938,127.25421084
용인시,2022   ,2022-12-14 16시,주간,수요일,차대차,추돌,,,교차로,교차로부근,화물차,,승용차,,1,0,2,0,1,37.31975635,127.10247076
안산시,2022   ,2022-12-13 07시,주간,화요일,차대사람,차도통행중,,,교차로,교차로부근,화물차,,보행자,,1,0,1,0,0,37.23131775,126.63517262
파주시,2022   ,2022-12-11 20시,야간,일요일,차대사람,길가장자리구역통행중,,,단일로,기타단일로,승용차,,보행자,,1,0,1,0,0,37.81608600,126.69747194
이천시,2022   ,2022-12-11 17시,주간,일요일,차대차,측면충돌,,,단일로,기타단일로,화물차,,이륜차,,1,0,1,0,0,37.27720128,127.51386319
의정부시,2022   ,2022-12-10 22시,야간,토요일,차대차,기타,,,교차로,교차로내,이륜차,,승용차,,1,0,3,0,2,37.75688180,127.08029930
성남시,2022   ,2022-12-10 05시,야간,토요일,차대사람,횡단중,,,교차로,교차로부근,승용차,,보행자,,1,0,1,0,0,37.38863918,127.12426010
양평군,2022   ,2022-12-10 04시,야간,토요일,차량단독,공작물충돌,,,단일로,기타단일로,승용차,,없음,,2,2,4,0,0,37.52691263,127.37019904
성남시,2022   ,2022-12-09 05시,야간,금요일,차대사람,횡단중,,,기타,기타,승용차,,보행자,,1,0,1,0,0,37.38184492,127.13355644
이천시,2022   ,2022-12-08 13시,주간,목요일,차량단독,기타,,,단일로,기타단일로,원동기장치자전거,,없음,,1,0,1,0,0,37.27802110,127.51730380
안산시,2022   ,2022-12-08 11시,주간,목요일,차대차,추돌,,,단일로,기타단일로,화물차,,특수차,,1,0,2,1,0,37.35026194,126.81846947
파주시,2022   ,2022-12-08 09시,주간,목요일,차대사람,횡단중,,,단일로,기타단일로,승합차,,보행자,,1,0,1,0,0,37.81310803,126.79251496
평택시,2022   ,2022-12-07 10시,주간,수요일,차대사람,횡단중,,,교차로,교차로내,승합차,,보행자,,1,0,1,0,0,37.07125422,127.06339747
화성시,2022   ,2022-12-06 15시,주간,화요일,차대차,기타,,,교차로,교차로내,화물차,,승용차,,1,2,5,0,2,37.20820805,126.72943507
안산시,2022   ,2022-12-06 07시,주간,화요일,차량단독,전복,,,단일로,기타단일로,화물차,,없음,,1,0,1,0,0,37.35235865,126.86817650
광명시,2022   ,2022-12-05 17시,주간,월요일,차대차,측면충돌,,,단일로,기타단일로,승용차,,승용차,,1,0,1,0,0,37.44877109,126.86187200
이천시,2022   ,2022-12-01 18시,야간,목요일,차대사람,기타,,,단일로,기타단일로,승용차,,보행자,,1,0,1,0,0,37.25688959,127.34377938
여주시,2022   ,2022-12-01 10시,주간,목요일,차량단독,기타,,,교차로,교차로내,자전거,,없음,,1,0,1,0,0,37.29209120,127.62415019
오산시,2022   ,2022-12-01 05시,야간,목요일,차대사람,횡단중,,,교차로,교차로횡단보도내,승용차,,보행자,,1,0,1,0,0,37.13024123,127.06778724
안양시,2022   ,2022-11-30 17시,주간,수요일,차대차,기타,,,교차로,교차로부근,승합차,,승용차,,1,0,7,6,0,37.39552291,126.96446539
평택시,2022   ,2022-11-30 12시,주간,수요일,차대차,추돌,,,단일로,기타단일로,화물차,,승용차,,1,0,3,0,2,37.09878851,127.11976572
안양시,2022   ,2022-11-29 20시,야간,화요일,차대차,측면충돌,,,단일로,기타단일로,개인형이동수단(PM),,승용차,,1,0,1,0,0,37.39949639,126.92386521
화성시,2022   ,2022-11-28 00시,야간,월요일,차대차,추돌,,,단일로,기타단일로,승용차,,승용차,,2,0,3,0,1,37.15828610,126.87603451
평택시,2022   ,2022-11-27 09시,주간,일요일,차대차,측면충돌,,,교차로,교차로내,승용차,,승합차,,1,0,3,0,2,36.99207896,127.12600637
오산시,2022   ,2022-11-27 05시,야간,일요일,차대차,추돌,,,단일로,기타단일로,이륜차,,승용차,,1,0,3,0,2,37.17194132,127.04159690
파주시,2022   ,2022-11-25 21시,야간,금요일,차대차,정면충돌,,,단일로,기타단일로,이륜차,,화물차,,1,0,1,0,0,37.74594068,126.84519745
포천시,2022   ,2022-11-24 17시,주간,목요일,차대차,추돌,,,단일로,기타단일로,화물차,,화물차,,1,0,2,1,0,37.83459019,127.16045525
김포시,2022   ,2022-11-24 14시,주간,목요일,차량단독,공작물충돌,,,기타,기타,승합차,,없음,,1,0,1,0,0,37.66593960,126.67174336
용인시,2022   ,2022-11-24 05시,야간,목요일,차대사람,횡단중,,,단일로,기타단일로,승합차,,보행자,,1,0,1,0,0,37.26373974,127.19532387
오산시,2022   ,2022-11-23 14시,주간,수요일,차대차,추돌,,,단일로,기타단일로,승용차,,승용차,,1,0,3,1,1,37.15793992,127.08752997
용인시,2022   ,2022-11-23 13시,주간,수요일,차대차,기타,,,단일로,기타단일로,화물차,,승용차,,3,0,4,0,1,37.23902989,127.28951896
